id,name,value
01,Alabama,5.9
02,Alaska,7.8
04,Arizona,7.9
05,Arkansas,6.1
06,California,10.1
08,Colorado,7.3
09,Connecticut,7.9
10,Delaware,7.8
11,District of Columbia,8.0
12,Florida,7.7
13,Georgia,6.5
15,Hawaii,11.6
16,Idaho,5.4
17,Illinois,9.5
18,Indiana,7.1
19,Iowa,5.3
20,Kansas,5.9
21,Kentucky,6.6
22,Louisiana,8.3
23,Maine,5.4
24,Maryland,6.8
25,Massachusetts,8.9
26,Michigan,9.9
27,Minnesota,6.2
28,Mississipi,8.1
29,Missouri,6.1
30,Montana,5.9
31,Nebraska,4.2
32,Nevada,12.8
33,New Hampshire,6.7
34,New Jersey,9.8
35,New Mexico,8.4
36,New York,10.0
37,North Carolina,7.3
38,North Dakota,5.1
39,Ohio,8.1
40,Oklahoma,6.1
41,Oregon,7.6
42,Pennsylvania,9.1
44,Rhode Island,9.4
45,South Carolina,6.2
46,South Dakota,4.6
47,Tennessee,7.5
48,Texas,7.6
49,Utah,4.7
50,Vermont,5.6
51,Virginia,6.2
53,Washington,8.4
54,West Virginia,8.3
55,Wisconsin,6.3
56,Wyoming,5.8
01001,Autauga County,4.9
01003,Baldwin County,5.6
01005,Barbour County,7
01007,Bibb County,6.6
01009,Blount County,4.1
01011,Bullock County,5.5
01013,Butler County,8.8
01015,Calhoun County,7.1
01017,Chambers County,6.8
01019,Cherokee County,4.6
01021,Chilton County,5
01023,Choctaw County,6.7
01025,Clarke County,9
01027,Clay County,4
01029,Cleburne County,4.6
01031,Coffee County,4.4
01033,Colbert County,6.6
01035,Conecuh County,7.3
01037,Coosa County,5.5
01039,Covington County,4.9
01041,Crenshaw County,5.7
01043,Cullman County,4.3
01045,Dale County,4.9
01047,Dallas County,10.7
01049,DeKalb County,4.5
01051,Elmore County,4.9
01053,Escambia County,6
01055,Etowah County,7.7
01057,Fayette County,5
01059,Franklin County,4.4
01061,Geneva County,4.1
01063,Greene County,10.9
01065,Hale County,9.4
01067,Henry County,4.8
01069,Houston County,5.4
01071,Jackson County,5.3
01073,Jefferson County,6.2
01075,Lamar County,4.9
01077,Lauderdale County,5.5
01079,Lawrence County,4.9
01081,Lee County,5.2
01083,Limestone County,4.3
01085,Lowndes County,13.3
01087,Macon County,9.6
01089,Madison County,4.6
01091,Marengo County,6.2
01093,Marion County,5.1
01095,Marshall County,4.2
01097,Mobile County,7.9
01099,Monroe County,8.2
01101,Montgomery County,7.8
01103,Morgan County,4.5
01105,Perry County,10.9
01107,Pickens County,6.5
01109,Pike County,4.9
01111,Randolph County,4.7
01113,Russell County,5.1
01115,St. Clair County,4.9
01117,Shelby County,3.9
01119,Sumter County,7
01121,Talladega County,7
01123,Tallapoosa County,6.9
01125,Tuscaloosa County,6.6
01127,Walker County,5.8
